,Tweet_text
260,"thank franceaucanada, loreal unesco you're encourage women persue stay science. #scienceneedswomen"
261,"youthtechgirls stem daily, ready! read it, share it, comment!"
262,take keep women leaving stem #leadership
263,powerful women different lines work political thinkers stem advocates share leadership
264,yeah women science
265,excited world-renowned computer scientist next president cornell. way go big red!
266,global women stem leadership summit organized #uga professor draws 250+ participants \n
267,great leadership timreedmyob supporting young women stem. alternative status quo & need
268,"#women, collaboration & #leadership - research forbes nancyfclark #stem #fridayreads #corporateculture"
269,searching women stem sector help prosper!find
270,thanks young women's stem leadership students carrying posters wwll veterans!
271,it\'s hard don\'t see. women need see women #stem & leadership roles.
272,"thewisecampaign #wiseconference2016 trudynorrisgrey chair wisecampaign ""we keep going&get girls & women stem & leadership"
273,great see elena karahanna ieeeorg & ieeewie's global women stem leadership summit! #design #future!
274,"need see - awesome 2 see
 beautiful minds pitch goodpitchaus promoting women leadership table & stem"
275,"excited beautiful minds doco, calls cultural shift stop 'silent brain drain' with
 lack women senior
 stem"
276,focus women leadership - stem training tonight! making connections! can't wait next week. monsantoco #hpsdtigers \xe2\x80\x93 focus st.
277,"youthtechgirls stem daily, ready! read it, share it, comment!"
278,women leadership begin? interview stages
279,"jacksonville\xe2\x80\x99s deutschebank teamed with
 gsgc help girls develop apps \xe2\x80\x9cwomen\xe2\x80\x99s leadership day.\xe2\x80\x9d #stem"
280,reality stem needs women u.s. economy hopes retain leadership digital innovation
281,collaborative consultative leadership helps trying keep women #stem
282,#hbr look take keep women leaving #stem. f/ harvardbiz
283,"background
 miyako schanely spoke importance adapting leadership styles women stem"
284,5 common #traits #women
285,"10th forum danube net started - women stem, innovation, leadership \ni proud part"
286,"#icann57 join round table barriers women leadership positions i* organization
 impact stem education today 18:30 hall"
287,"#wielead leadership summit women stem, dean_alavi dr. valerie montgomery rice, press
 dean morehouse school medicine"
288,speakerjeff really enjoying talk global women #stem leadership summit! thank
289,"share #research #women, #leadership, clan culture & collaboration #techonomics kgo810 kgojason #stem"
290,girls coding women engineers lockheedmartin's women's leadership forum - women #stem!
291,wisci ieee-wie global women stem leadership summit atlanta week #ugawisci #wombwisdom...
292,"great interview need women senior, technical leadership"
293,glaring reality stem needs women u.s. economy hopes retain leadership digital innovation.
294,excited attending global women stem leadership summit
295,today i'm delivering #leadership #programme women working #stem. everyone leader even don't...
296,edutechpa free conference women/girls #stem #leadership cash prizes students! #leadlikeagirl please
297,"sageuk morning delivering #stem #leadership program
 room full motivated enthusiastic"
298,arrived #ieee ieee ieeewie global women #stem leadership summit #wielead #womeninengineering
299,leadership development women stem: live info session november 10
300,women stem: need reclaim
301,51% clark college #stem faculty women. leadership stem education #vanwa good pnw
302,"help build talent pipeline innovation leadership, support #stem #scholarships women #womenintech"
303,public leadership education network \xc2\xbb seminars college students: women public policy; women stem policy...
304,"really looking forward speaking ieee-wie global women stem leadership summit atlanta, ga november..."
305,"girlsintech organizing #workshop confidence, leadership, entrepreneurship. women"
306,"last day apply focusstl's #stem women leadership program: (no cost, space limited 40"
307,today last day apply focusstl women leadership program! #stem
308,"#women, #corporateculture, collaboration & #leadership - research forbes nancyfclark #womenintech #stem"
309,"share #research #women, #leadership, clan culture & collaboration #techonomics kgo810 kgojason #stem"
310,speaking stem education 18th global women leadership economic forum
311,love see women promoted leadership positions #stem
312,#rolemodel #stem #womeninstem #womeninscience #latinaengineer
313,salary parity increased leadership roles women go long way toward solving gender disparity #stem careers
314,$1 goes girlsintech retweet this! #sconnect16 #all4git
315,"coding classes, college student post-grad #stem? apply focusstl women leadership oct 31"
316,"kathleenbuse, faculty director leadership lab women stem, featured phenomenal woman magazine:"
317,apply one 40 women different #stem backgrounds attending focusstl women leadership program.
318,
